job_id,job_title,company,experience,salary,location,job_age,skills
47,Python Developer(APM),eClerx Services Ltd.,3-6 Yrs,300000 - 700000 PA.,Pune,8 DAYS AGO,Matplotlib|Tableau|Informatica|ETL|SSIS|Numpy|Python|Panda
48,Python Developer - Aspire Systems Hyderabad,Aspire Systems India (P) Ltd,3-6 Yrs,Not disclosed,Hyderabad,8 DAYS AGO,Angularjs|Django|UI Development|Python
49,Python Java developer with AIML _Bangalore_Immediate,Orcapod Consulting Services Private Limited,5-10 Yrs,300000 - 800000 PA.,Chennai| Bengaluru| Hyderabad,2 DAYS AGO,Java|AI Tools|Aiml|Java python|Python
50,Software Engineer/Automation Engineer(Python),RANDSTAD INDIA PVT LTD,2-7 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,Java|Rest|C|GCP|Data Structures|GraphQL|Programming|AWS
51,Senior Software Developer - PHP/ Node.js/ Python,VoiceTree Technologies,3-7 Yrs,Not disclosed,Noida,11 DAYS AGO,RESTful API|NoSQL|ElasticSearch|Linux|Microservices Architecture|MySQL|PHP|Node.js
52,Golang/python Developer - Distributed Systems,Infracloud,3-8 Yrs,Not disclosed,Pune,11 DAYS AGO,Golang|Open Source|Linux|Docker|Distributed Systems|Algorithm|Virtualization|Data Structure
53,Python Developer-C2H,Orcapod Consulting Services Private Limited,5-10 Yrs,900000 - 1900000 PA.,Bengaluru| Hyderabad,3 DAYS AGO,Python3|MySQL|Python|Celery|XML|Redis|Open API|MongoDB
54,Job | Atos|syntel is Hiring Java+ Python Professionals,Syntel Private Limited,7-10 Yrs,1500000 - 2000000 PA.,Bengaluru| Hyderabad,15 DAYS AGO,Java Developer|j2ee|Oracle DBA|Python
55,Backend Developer | Python Developer- Django | Backend Engineer,FullThrottle Labs Technologies,1-5 Yrs,800000 - 1800000 PA.,Bengaluru(Koramangala),14 DAYS AGO,python|html5|Python Developer|javascript|backend programmer|software development life cycle|product design|software architecture
56,Backend Developer | Python Developer- Django | Backend Engineer,FullThrottle Labs Technologies,3-6 Yrs,1000000 - 2000000 PA.,Bengaluru(Koramangala),9 DAYS AGO,python|Python Developer|javascript|backend programmer|software development life cycle|product design|software architecture|Backend
57,Genpact is hiring - Java + python Developer,HEADSTRONG SERVICES INDIA PRIVATE LIMITED,5-8 Yrs,Not disclosed,Mumbai,3 DAYS AGO,Java|Python
58,RPA Automation Anywhere Developer / Sr Developer with Python,HEXAWARE TECHNOLOGIES LIMITED,1-6 Yrs,Not disclosed,Navi Mumbai,9 DAYS AGO,Rpa|Automation Anywhere|Python
59,Software Engineer Python Developer,Pinaca Technologies Pvt Ltd,5-10 Yrs,600000 - 1200000 PA.,Chennai(Adyar),FEW HOURS AGO,Application Development|NLP|Data Engineering|Software Engineering|Web Technologies|Problem Solving|Python
60,Artificial Intelligence (AI/ ML/ Python) Paid Internship,Apricitas Technologies Private Limited,0-3 Yrs,Not disclosed,Pune,3 DAYS AGO,Analytical Skills|Artificial Intelligence|Quantitative|Machine Learning|Python
61,Python Developers with Networking/Virtualization,Calsoft Pvt. Ltd,4-9 Yrs,Not disclosed,Pune| Bengaluru,10 DAYS AGO,UI development|Networking|OOPS|System programming|Virtualization|Python
62,Senior Data Scientist [ML Modelazure ML Pipelinepythonr ],eInfochips Limited,8-12 Yrs,Not disclosed,Bengaluru(6th block Koramangala),14 DAYS AGO,Data Science|R|tensorflow|Pickle|Artificial Intelligence|PMML|ML Models|Python
63,Python Developer (Data Science Exp),Novitas Infotech,5-10 Yrs,Not disclosed,Bengaluru,2 DAYS AGO,Data Science|R|Presto|Hadoop|Customer Analytics|Data Mining|Tableau|Night Shift
64,Python Software Developer - Cloud Automation,Innova Solutions Private Limited,5-10 Yrs,Not disclosed,Visakhapatnam,11 DAYS AGO,Full Stack Developer|Python Developer|AWS|Python
65,Software Engineer - Java Python PL/SQL,Amdocs Development Center India Pvt. Ltd.,3-5 Yrs,Not disclosed,Gurgaon,3 DAYS AGO,Socket programming|Hibernate|UML|Memory management|OOAD|Debugging|PLSQL|software quality
66,Grofers | Production Support Engineer - SqlPython/shell Scripting,Grofers India Pvt Ltd,2-5 Yrs,Not disclosed,Bengaluru,5 DAYS AGO,Product Support|SQL|Unix|Linux|Unix Shell Scripting|Python
67,Lead Full Stack Python Django Developer,MODISTABOX,5-8 Yrs,Not disclosed,India,12 DAYS AGO,work from home|Unit Testing|GCP|Django|Web Technologies|MongoDB|Rest Api|AWS
68,Excellent Opportunity For Senior Python Developer - Bangalore/chennai,iOPEX Technologies Private Limited,3-8 Yrs,Not disclosed,Chennai| Bengaluru,14 DAYS AGO,Django|Python Developer|flask
69,Python Django developers,Anadik Technologies Private Limited,2-7 Yrs,Not disclosed,Chennai| Bengaluru,15 DAYS AGO,Unix|Linux|Django|OOAD|Elastic Search|Python|Linux Internals|SQL
70,Software Developer - I ( C++ Python FEA),ANSYS Software Pvt. Ltd.,2-3 Yrs,Not disclosed,Pune,15 DAYS AGO,C++|FEA|Linux|JavaScript|Windows|Python
71,Senior Python Developer,derivIT Solutions Pte Ltd,3-5 Yrs,Not disclosed,Bengaluru,TODAY,Linux|Configuration management|Social media|CMS|HTML|HTTP|Adobe|IMS
72,MS Azure Developer with Python,Itarium Technologies India Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru,2 DAYS AGO,Adf|SQL DBA|Microsoft Azure|Azure|.Net Core|.Net Framework|full stack developer|datafactory
73,Python Developer,Cosmic Strands ePublishing Pvt Ltd,2-4 Yrs,Not disclosed,Bengaluru| Ulsoor,11 DAYS AGO,automation|Web scraping|Python Developer|Pandas|developer|Python
74,Job | Opening For Python or perl Developer (Female candidates only),Naukri Premium - Employer Services,6-8 Yrs,800000 - 1100000 PA.,Bengaluru,11 DAYS AGO,perl programming|python|perl developer|perl coding|perl|python developer|python coding|python programming
75,Sr. Python Developer,Talent Transit,3-5 Yrs,Not disclosed,Bengaluru,11 DAYS AGO,Java|Django|Dynamo Db|Postgresql|MySQL|MongoDB|RESTful Web services|AWS
76,Python Developer,Riconz Technologies,1-3 Yrs,Not disclosed,Bengaluru,12 DAYS AGO,C#|Java|any scripting language|TestNG|Python
77,Python Developer,Pentoz Technology,3-6 Yrs,Not disclosed,Bengaluru,14 DAYS AGO,Python Developer
78,Senior Python Developer - Python/ AWS,Recrutist,5-9 Yrs,Not disclosed,Bengaluru,14 DAYS AGO,REST API|Database Schema|Database Integration|RESTful Webservices|API|AWS|Python|Flask
79,Job opening in TOP MNC For Python Developer @ chennai,TEAMLEASE DIGITAL PRIVATE LIMITED,4-8 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,Docker|Containerization|Github|pyspark|Kubernetes|Python
80,Job opening in TOP MNC For Python Developer @ chennai,TEAMLEASE DIGITAL PRIVATE LIMITED,4-8 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,Docker|Containerization|Github|pyspark|Kubernetes|Python
81,Python Developer,TEAMLEASE DIGITAL PRIVATE LIMITED,4-7 Yrs,325000 - 800000 PA.,Bengaluru,4 DAYS AGO,Pyspark|python programmer|Python
82,Python Developer,TEAMLEASE DIGITAL PRIVATE LIMITED,4-7 Yrs,325000 - 800000 PA.,Bengaluru,4 DAYS AGO,Pyspark|python programmer|Python
83,Python Developer,Thompsons HR Consulting,1-3 Yrs,Not disclosed,Bengaluru,4 DAYS AGO,Computer science|Django|Python
84,Python Developer,CronJ IT Technologies Private Limited,1-4 Yrs,300000 - 600000 PA.,Bengaluru,4 DAYS AGO,Software Development|phython developer|GIT|phython|MySQL|Javascript|flask|AWS
85,Full Stack Python Developer,ITOrizon,4-7 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,ERP|Linux|MySQL|Consulting|Oracle|Apache|SCM|Information technology
86,Python Data Science Developer,Quosphere Infosolutions Pvt. Ltd.,2-4 Yrs,Not disclosed,Navi Mumbai,8 DAYS AGO,Data Science|Route Optimization|Machine Learning|Python
